#what,what,,,,,,,,,,,,,
#as,molm,,,,,,,,,,,,,
#abs,alliumsm,,,,,,,,,,,,,
#bs,gunggmhajianm,,,,,,,,,,,,,
#organism part,whole organism,,,,,,,,,,,,,
#compound,,,indole-3-acetic acid,indole-3-acetic acid,,,indole-3-acetic acid,indole-3-acetic acid,,,,,,
Gene ID,Gene Name,DesignElementAccession,Quint_2-71_Col-0-3h_Rep2_ATH1,Quint_2-67_Col-0-1h_Rep1_ATH1,Quint_2-62_Col-0-0h_Rep2_ATH1,Quint_2-61_Col-0-0h_Rep1_ATH1,Quint_2-66_Col-0-30min_Rep3_ATH1,Quint_2-72_Col-0-3h_Rep3_ATH1,Quint_2-70_Col-0-3h_Rep1_ATH1,Quint_2-65_Col-0-30min_Rep2_ATH1,Quint_2-69_Col-0-1h_Rep3_ATH1,Quint_2-64_Col-0-30min_Rep1_ATH1,Quint_2-63_Col-0-0h_Rep3_ATH1,Quint_2-68_Col-0-1h_Rep2_ATH1
AT1G01340,CNGC10,261027_at,5.785964251,5.722101477,5.595383433,5.448667055,5.428595198,5.851584261,5.984177391,5.583585035,5.885885359,5.415737066,5.376162838,5.299796632
AT1G01360,PYL9,261056_at,6.576481051,6.506617048,6.827288427,6.789120251,6.890129589,6.550692488,6.870946953,6.837996825,6.659359306,6.656013622,6.808828164,6.46348039
AT1G01370,HTR12,261058_at,4.013525065,4.09392656,4.082081522,4.343151979,4.024015985,3.841035772,4.24428694,4.255390996,3.977040873,4.276456052,4.487185673,4.109881657
AT1G01380,ETC1,257490_x_at,3.208935022,3.40182326,3.350941983,3.356879238,3.142956158,2.981381458,3.208132483,3.282495387,3.256546998,3.353585319,3.467471108,3.367462591
AT1G01390,,261046_at,3.135719634,3.255433409,3.483234308,3.506020987,3.37352361,3.366023439,3.348095352,3.137458593,3.410732585,3.299752053,3.104026588,3.19976822
AT1G01410,APUM22,261047_at,2.998256869,2.857059451,2.789444715,2.96384593,2.944650924,2.94177948,2.944782984,2.774410854,2.813220553,2.887937824,2.907558384,2.914599875
AT1G01420,UGT72B3,261048_at,4.565683237,4.734878534,5.022329204,4.768797756,4.932619893,4.461084805,4.422307357,4.773403666,4.539211666,4.462822772,4.736432146,4.204119977
AT1G01430,TBL25,261049_at,8.171561593,8.484038268,8.86581507,8.921134622,8.722615818,8.431601914,8.187767801,8.755207781,8.456142005,8.703576206,8.815310571,8.317840021
AT1G01440,,261052_at,5.394494948,5.60404111,6.07985872,6.098199392,5.838143868,5.576023756,5.477635664,5.660169841,5.701408719,5.786709846,5.676257476,5.590160877
AT1G01450,,259435_at,3.064256112,3.044616616,2.880342983,2.983390966,3.058366109,3.073419979,3.047791789,2.987573935,3.087619622,3.073419979,3.159507132,3.004830917
AT1G01460,PIP5K10,259425_at,2.749420257,2.831739674,2.973616115,2.758083799,3.043456147,3.100206027,3.025790861,2.900108463,3.027862726,2.773670935,2.892029671,2.94753522
AT1G01470,LEA14,259426_at,10.32053033,9.990058492,9.359576334,9.428293282,9.868496516,10.74572673,10.39431904,9.687521478,9.736404483,9.823090866,9.240801116,9.776667357
AT1G01480,ACS2,259439_at,4.304581101,3.956155034,3.871385941,3.593634179,3.98844341,4.040800137,4.004180436,3.882981253,4.114773681,4.010892946,3.784855927,3.994158953
AT1G01490,,259434_at,9.084841019,8.906316714,9.430483823,9.401726703,9.147977677,9.20169131,9.166591237,8.926458236,9.024958536,8.972710068,9.423676321,8.897266352
AT1G01500,,259436_at,6.808107078,6.96280303,6.544288435,6.46893982,6.742587356,6.905069108,6.838514002,6.817288962,6.831296817,6.843553413,6.683246635,6.765914974
AT1G01510,AN,259438_at,8.212628226,8.103685917,8.428601207,8.367562666,8.168416652,8.098433067,8.215460277,8.242947608,8.293023223,8.346983406,8.387234769,8.214991495
AT1G01520,,259432_at,3.021436156,3.049532602,2.970417453,3.025788615,3.101162443,2.88892717,3.014806707,3.09600766,3.159017851,3.074517819,2.985193867,2.953928079
AT1G01530,AGL28,259427_at,2.753651268,3.13901161,2.843959332,2.852797454,2.943927124,2.827341547,2.966256265,3.114103719,2.86692443,3.056023699,2.974649048,2.840502258
AT1G01540,,259437_at,7.330614458,7.554091404,7.756527035,7.739992241,7.619558969,7.290508444,7.331644428,7.611469704,7.502320194,7.727155781,7.656419743,7.667137165
AT1G01550,BPS1,259440_at,9.573122242,9.713311612,9.188254639,9.319993558,9.713613782,9.827215863,9.584767054,9.875489712,9.607710649,9.49847932,9.292655999,9.506524486
AT1G01560,MPK11,259428_at,5.762107405,5.415445581,4.67773482,4.731131789,5.322943324,6.229310751,5.92188938,5.210103301,5.384915667,5.439500408,4.852045502,5.288009921
AT1G01570,,259433_at,3.948141352,3.960315303,3.897289856,3.897289856,3.897289856,4.112594513,3.560240806,3.907535713,3.933483313,3.837519891,3.909453547,3.992147055
AT1G01600,CYP86A4,259429_at,6.069879605,6.416198956,5.888359257,6.037039132,6.155247207,6.561725993,6.237219152,6.315697763,6.703423453,5.993197791,5.822358836,6.507527126
AT1G01610,GPAT4,259430_at,7.810328277,8.485363327,7.937829082,8.286125469,8.480243911,7.946737134,7.890456238,8.374263149,8.324972752,8.234383043,8.071747281,8.201632803
AT1G01620,PIP1-3,259431_at,10.15188669,10.50467646,10.6154365,10.59183193,10.7136724,10.2058189,10.00618193,10.5732426,10.38671623,10.61235618,10.55898656,10.24646322
AT1G01630,,261563_at,8.347882676,8.618609927,8.565013751,8.555661392,8.606621445,8.601015999,8.572283134,8.435042859,8.556380934,8.652059078,8.468964185,8.47467429
AT1G01640,,261586_at,7.414421277,7.440487394,7.670804631,7.070604744,6.94730282,6.800915304,7.433569742,7.336835862,7.255462873,7.168011353,7.447011789,7.317908296
AT1G01650,SPPL4,257484_at,8.281032933,8.005533511,7.693358163,7.640033364,7.823691414,8.301465978,8.19159671,7.836219195,7.959916585,7.900466898,7.639659942,7.837897392
AT1G01660,,261587_at,3.569564021,3.426210239,3.363161525,3.300616452,3.295350375,3.448881979,3.371932681,3.319447724,3.311631962,3.569248477,3.655517246,3.514287441
AT1G01670,PUB56,261588_at,4.324775531,4.449015688,4.253112237,4.283867002,4.265987408,4.149316008,4.447956241,4.205165989,4.291246036,4.416818171,4.298257792,4.301417962
AT1G01700,ATROPGEF2,261590_at,2.961015462,3.094550248,3.002221498,2.941042071,2.780338017,2.891441241,2.852613814,2.900849878,2.975247023,3.084784304,2.84507462,3.005790944
AT1G01710,,261560_at,6.415662277,6.526649345,6.787431337,6.500739987,6.522088176,6.459781242,6.558450649,6.488846346,6.308966379,6.689075978,6.638643523,6.399402334
AT1G01720,NAC002,261564_at,8.434005457,8.768224461,7.939015222,7.870936692,8.596159501,8.849233909,8.310811672,8.427285576,8.800219857,8.46129801,7.905064739,8.804988587
AT1G01725,,261535_at,5.515523859,5.617400914,5.686707181,5.779109117,5.624038052,5.839105865,5.547719067,5.556840774,5.501173526,5.558628951,5.582880208,5.363874323
AT1G01730,,261561_at,6.742088267,6.453356814,6.548691096,6.640166446,6.277050814,6.831336165,6.579840712,6.326044345,6.50869987,6.48264253,6.415075378,6.270071472
AT1G01740,,261591_at,5.041546326,4.852822158,5.25630122,5.201888595,4.823757634,5.110226883,4.753775893,4.869332962,4.861350824,5.028023932,4.81562093,4.931677443
AT1G01750,ADF11,261562_at,5.282886873,6.508667507,5.70768856,5.362741893,5.948928208,4.831985059,5.490697758,6.156045907,6.465600329,6.238691824,5.35866949,6.510579909
AT1G01760,,261592_at,4.87383607,4.831063632,4.908865786,4.963734545,4.994603631,4.719552358,4.900811442,4.908865786,4.823897264,4.919924102,4.883623785,4.871896385
AT1G01770,,261558_at,5.223615596,4.833414943,5.544140865,5.492121367,5.166961937,5.293950926,4.854615805,5.18434341,5.067771812,5.323613492,5.422281666,4.845399071
AT1G01780,PLIM2B,261559_at,4.680362537,5.03391627,5.675885594,5.27558575,5.031660258,4.939838668,4.819943314,5.203961382,5.187046888,5.431105618,5.327203145,5.179034868
AT1G01790,KEA1,261536_at,6.450971732,6.826471436,6.981956523,7.171606538,6.983595307,6.808625157,6.404278283,6.845023463,6.733043658,6.944902912,7.036156687,6.622872079
AT1G01800,,261537_at,9.643331529,9.248067048,9.443736265,9.382894213,9.330219523,9.633536974,9.529391894,9.341086094,9.393724217,9.276666749,9.416858986,9.443875354
AT1G01820,PEX11C,261534_at,7.246307663,7.224936523,7.192429268,7.378426168,7.257222364,7.582515822,7.351411698,7.171504477,7.144751225,7.393842677,7.290197052,7.140998692
AT1G01830,,261538_at,5.364068022,5.477869975,5.510674497,5.427226172,5.079793235,5.300938646,5.133215178,5.115532468,5.266733395,5.12829896,5.407172917,5.210246267
