#what,what,,,,,,,
#age,2 (week),,,,,,,
#organism part,aerial part,,,,,,,
#dose,20 micromolar,,,,,,,
#development stage,seedling,,,,,,,
#compound,,,DMSO,DMSO,t-zeatin,t-zeatin,DMSO,t-zeatin
Gene ID,Gene Name,DesignElementAccession,NASCArrays:Tab2MAGE:E-NASC-75.20.Hybridization,NASCArrays:Tab2MAGE:E-NASC-75.17.Hybridization,NASCArrays:Tab2MAGE:E-NASC-75.32.Hybridization,NASCArrays:Tab2MAGE:E-NASC-75.38.Hybridization,NASCArrays:Tab2MAGE:E-NASC-75.13.Hybridization,NASCArrays:Tab2MAGE:E-NASC-75.35.Hybridization
AT1G01460,PIP5K10,259425_at,4.212441828,4.174241398,4.083707823,3.884525263,4.24032109,4.035982008
AT1G01470,LEA14,259426_at,8.672448371,8.744474006,9.823555409,10.21262312,8.805740425,10.05055014
AT1G01480,ACS2,259439_at,4.318237116,4.394969259,4.385694949,4.333313212,4.157977277,4.380016919
AT1G01490,,259434_at,10.81473064,11.05367376,10.11742082,9.866888585,10.85189404,10.05638713
AT1G01500,,259436_at,7.963969637,7.846100183,8.043272078,8.009982018,7.907218877,8.07720741
AT1G01510,AN,259438_at,9.359415877,9.088915857,8.715485956,8.503305311,9.133298262,8.638967749
AT1G01520,,259432_at,4.33004762,4.359561939,4.250458394,4.272724159,4.281336086,4.233855447
AT1G01530,AGL28,259427_at,3.686706518,3.557013295,3.616743791,3.609643939,3.645307402,3.613670102
AT1G01540,,259437_at,9.184189135,9.250440982,9.217379974,9.340863442,9.36484263,9.317726502
AT1G01550,BPS1,259440_at,10.25217884,10.64331584,10.67089836,10.65041045,10.51224221,10.76193371
AT1G01560,MPK11,259428_at,5.867146317,6.304376816,5.210083609,5.348903887,6.297491287,5.767454404
AT1G01570,,259433_at,5.474088572,5.730919911,5.190030579,4.835502535,5.64295686,4.950212831
AT1G01600,CYP86A4,259429_at,7.546269997,7.454223091,7.041803362,7.103006321,7.975720263,7.178107751
AT1G01610,GPAT4,259430_at,8.161356996,8.049734539,9.407203153,9.2706319,7.927147899,9.392391617
AT1G01620,PIP1-3,259431_at,11.31456851,11.33709376,11.44991386,11.30734754,11.16417897,11.25595414
AT1G01630,,261563_at,9.695868251,9.785284041,9.590423312,9.660985799,9.753478467,9.579446694
AT1G01640,,261586_at,4.142402544,4.15006769,4.177645264,4.256558041,4.125274645,4.425516356
AT1G01650,SPPL4,257484_at,8.868673849,8.86214951,8.323328377,8.422558148,8.719481876,8.476005421
AT1G01660,,261587_at,3.99343581,3.961933872,3.897242588,3.970975462,4.146643796,3.868462377
AT1G01670,PUB56,261588_at,5.64769867,5.744596684,5.208565216,5.099153184,5.549667067,5.19749647
AT1G01700,ATROPGEF2,261590_at,3.946739386,3.597974177,3.516912295,3.674359757,3.707974566,3.723725402
AT1G01710,,261560_at,8.431733995,8.310905648,7.817585374,7.780243896,8.438270863,7.638272338
AT1G01720,NAC002,261564_at,7.539573483,7.650311532,8.214599085,7.795031913,7.487927556,8.071273097
