.,.,.,.,.,.,.,.,.,.,.,.
#age,5(week),.,.,.,.,.,.,.,.,.,.
#tissue,leaf,.,.,.,.,.,.,.,.,.,.
#compound,.,.,1-naphthylacetic acid,1-naphthylacetic acid,none,none,1-naphthylacetic acid,1-naphthylacetic acid,none,1-naphthylacetic acid,1-naphthylacetic acid
Gene ID,Gene Name,DesignElementAccession,GSM435954,GSM435939,GSM435933,GSM435948,GSM435940,GSM435938,GSM435963,GSM435969,GSM435968
AT1G01010,NAC001,261585_at,7.004144421,7.802045446,8.126985489,8.165217585,8.337848939,8.113142172,7.759874663,7.433101564,7.721943329
AT1G01030,NGA3,261568_at,5.042389456,4.789633664,5.347824019,6.117440421,5.552106504,5.097535628,5.056807451,5.00681275,4.909746321
AT1G01040,DCL1,261584_at,6.866616502,6.938582713,6.805309873,8.193419272,6.251745859,7.014768152,6.882763665,7.348488618,6.947211631
AT1G01050,PPA1,261579_at,10.21087103,10.58312117,10.97647195,10.69235543,10.40426176,10.82025382,10.52692769,10.51159898,10.5777164
AT1G01060,LHY,261569_at,8.339811528,9.499185112,11.82600582,8.900510789,11.18625528,11.30851028,9.852806745,7.739560474,9.842399115
AT1G01070,,261576_at,7.677254301,8.201195106,7.600454467,8.179737624,6.111226663,7.843846174,7.181223217,6.727619967,7.567153427
AT1G01080,,261577_at,9.451029441,9.505354301,9.305728498,9.55920662,8.900752984,8.912179296,9.379898448,9.60896645,9.482808487
AT1G01090,PDH-E1 ALPHA,261583_at,11.51236942,11.40926253,11.48996145,10.75988348,11.28283141,11.40779568,11.31935527,11.49917561,11.22914384
AT1G01100,RPP1A,261578_at,12.52935175,12.77302607,12.33659696,12.73681057,12.32513576,12.55285235,12.55653553,12.44678527,12.52884025
AT1G01110,IQD18,261580_at,4.66307792,4.169111538,4.121939036,5.358281923,4.431136571,4.298361954,4.291768779,4.389257968,4.327677117
AT1G01120,KCS1,261570_at,7.589900217,8.410964737,9.169645743,9.404757512,10.1667674,9.465513252,7.581555466,7.647826448,8.282424448
