#age,7 (day),,,,,,,
#ecotype,Col-0,,,,,,,
#development stage,seedling,,,,,,,
,,,,,,,,
Gene ID,Gene Name,DesignElementAccession,H_iaa1GR-IAA-1,H_iaa1GR-IAA-2,H_iaa1GR-IAA-3,H_iaa1GR-Mock-2,H_iaa1GR-Mock-1,H_iaa1GR-Mock-3
AT1G01660,,261587_at,4.167908448,3.915779163,3.819827327,4.096949394,3.811005367,3.810146212
AT1G01670,PUB56,261588_at,4.640505249,4.596613099,4.672058406,4.553579252,4.802386628,4.614643989
AT1G01700,ATROPGEF2,261590_at,3.005196483,3.077079547,3.036323951,2.885163577,2.977423054,3.059370109
AT1G01710,,261560_at,7.117216524,7.045174792,7.162156289,7.208274483,7.254100068,7.345720315
AT1G01720,NAC002,261564_at,8.888264696,8.60164458,8.60164458,8.170028591,8.72729557,8.564638226
AT1G01725,,261535_at,6.311182943,6.242391004,6.126056576,6.113496902,6.184680922,6.493476837
AT1G01730,,261561_at,7.728662804,7.469910321,7.453632746,7.437631001,7.581693986,7.297776481
AT1G01740,,261591_at,5.834668704,5.642899539,5.703222658,5.659430436,5.678350188,5.764839133
AT1G01750,ADF11,261562_at,7.046524296,6.670034773,7.167244354,7.679261141,6.866743619,6.848523982
AT1G01760,,261592_at,5.405922524,5.111247708,5.46091874,5.395756818,5.395756818,5.261857701
AT1G01770,,261558_at,5.310005327,5.620764826,5.561928731,5.756299458,5.697464482,5.936908672
AT1G01780,PLIM2B,261559_at,6.351500885,5.604524487,6.098461851,6.414543349,6.69221647,6.280360215
AT1G01790,KEA1,261536_at,7.998389165,7.561855744,7.878291242,7.49194404,7.921608848,7.807547397
AT1G01800,,261537_at,9.536847334,9.49400796,9.505658968,9.491845055,9.505658968,9.684996243
AT1G01820,PEX11C,261534_at,8.54907619,8.15224818,7.982609139,8.091098579,8.670825296,7.925559333
AT1G01830,,261538_at,5.797211161,5.776866966,5.996563624,5.972708607,5.972708607,6.114238506
AT1G01840,,261539_at,5.31284052,5.239088165,5.580288693,5.458661888,5.31284052,5.419849855
