#development stage,seedling,,,,,,,
#ecotype,Columbia,,,,,,,
#age,10 (day),,,,,,,
#compound,,,auxin and brassinazole,auxin,auxin and brassinazole,auxin and brassinazole,auxin,auxin
Gene ID,Gene Name,DesignElementAccession,GSM325130,GSM325126,GSM325131,GSM325129,GSM325127,GSM325128
AT1G01560,MPK11,259428_at,4.437064937,4.439214452,4.741096566,4.361940551,4.515215057,4.543193276
AT1G01570,,259433_at,4.866887863,5.13400644,5.395587696,4.95661131,5.089474754,5.133603161
AT1G01600,CYP86A4,259429_at,6.657817067,6.629928447,6.566707579,6.675514411,6.48122966,6.579091672
AT1G01610,GPAT4,259430_at,9.136818483,9.579523901,9.36624992,9.214577151,9.359030245,9.499505677
AT1G01620,PIP1-3,259431_at,11.86032606,12.15822526,11.99303469,11.78453408,12.13302731,12.08924549
AT1G01630,,261563_at,8.935034899,9.14320212,8.964393583,8.852153869,9.132766558,9.261563131
AT1G01640,,261586_at,8.153995735,8.086609563,8.33298863,8.323781016,8.089182019,7.894377354
AT1G01650,SPPL4,257484_at,9.161514561,9.171973584,9.181746542,9.123730897,9.231047719,9.171920124
AT1G01660,,261587_at,4.128402079,4.211068904,4.079816624,4.092105661,4.152962965,4.194702024
AT1G01670,PUB56,261588_at,5.400060865,5.107572758,5.323148377,5.145166658,5.100187991,4.9968667
AT1G01700,ATROPGEF2,261590_at,3.648314641,3.836125748,3.76646365,3.565221261,3.909116294,3.710158916
AT1G01710,,261560_at,8.378342265,8.412609317,8.582951779,8.386064175,8.378338243,8.369113845
AT1G01720,NAC002,261564_at,9.118529574,9.083784189,9.116201505,9.254412599,9.129412008,9.118713837
AT1G01725,,261535_at,7.445355062,7.431188298,7.458330733,7.317946354,7.482427213,7.522773567
AT1G01730,,261561_at,8.023545902,8.029304412,8.203067497,7.945619669,8.058304585,8.057650108
AT1G01740,,261591_at,6.669218733,6.583233347,6.576065032,6.558696878,6.547011216,6.60943704
AT1G01750,ADF11,261562_at,7.467371651,7.318912013,7.443467607,7.563430302,7.442335955,7.291153187
AT1G01760,,261592_at,6.04670091,6.265787871,5.992571263,6.039013049,6.355075341,6.228125038
AT1G01770,,261558_at,7.489026796,7.678009795,7.457843631,7.5057022,7.526090503,7.652589402
AT1G01780,PLIM2B,261559_at,7.272110241,7.365578678,7.420960081,7.360877099,7.41626809,7.589382796
AT1G01790,KEA1,261536_at,9.427736872,9.647456837,9.463747739,9.356806048,9.62218456,9.768469704
AT1G01800,,261537_at,10.23199232,10.23593727,10.31369706,10.28648581,10.1819387,10.26739908
AT1G01820,PEX11C,261534_at,9.457557742,9.445389879,9.59656216,9.365100718,9.379517377,9.517221412
AT1G01830,,261538_at,6.301779014,6.127425913,6.619274404,6.25749064,6.288952105,6.456688933
AT1G01840,,261539_at,5.34892884,5.214108772,5.56037848,5.2500055,5.278686032,5.485095297
AT1G01860,PFC1,261652_at,7.653138957,7.90975828,8.108119333,7.834180929,7.798792384,7.894635181
AT1G01900,SBTI1.1,261653_at,6.29481602,6.252141804,6.469621042,6.471706706,6.158092136,6.406080956
AT1G01910,,261627_at,9.03702994,8.940580672,9.081143617,9.002752453,9.020243747,9.006486505
AT1G01920,,261654_at,5.728390876,5.415008223,5.774501538,5.641791677,5.609606814,5.498567515
AT1G01930,,261625_at,7.615215905,7.618673102,7.531629188,7.589382796,7.53613524,7.735577036
AT1G01940,CYP18-1,261655_at,8.280368877,8.127705413,8.356836925,8.118333778,8.15005609,8.112727747
AT1G01950,ARK2,261656_at,6.506344619,6.615948943,6.700281546,6.676883916,6.465299355,6.600900939
AT1G01960,BIG3,261621_at,9.374754495,9.297110713,9.582668056,9.415551235,9.357778533,9.511639375
AT1G01970,,261622_at,8.938610682,8.861303964,8.889014638,8.798314627,8.960013029,8.882706311
AT1G01980,SEC1A,261623_at,3.708472433,3.949740292,3.783963863,3.757514756,3.764963706,3.855364038
AT1G01990,,261626_at,7.600667987,7.410037445,7.556494602,7.617533844,7.361011232,7.426417156
AT1G02000,GAE2,261624_at,6.979439843,7.053311717,6.978133279,6.944536496,6.992205795,6.993343222
AT1G02020,,264169_at,7.065882333,7.087320766,7.009058271,7.089133345,7.164887718,7.246447794
