#devolpment stage,radicle emergence,,,,,,,,,,,,,
#ecotype,Ler-0,,,,,,,,,,,,,
#dose,20 (micromolar,,,,,,,,,,,,,
Gene ID,Gene Name,DesignElementAccession,Penfield_1-10_embryo-control_Rep1_ATH1,Penfield_1-4_endosperm-ABA_Rep1_ATH1,Penfield_1-12_embryo-control_Rep3_ATH1,Penfield_1-1_endosperm-control_Rep1_ATH1,Penfield_1-15_embryo-ABA_Rep3_ATH1,Penfield_1-13_embryo-ABA_Rep1_ATH1,Penfield_1-3_endosperm-control_Rep3_ATH1,Penfield_1-11_embryo-control_Rep2_ATH1,Penfield_1-5_endosperm-ABA_Rep2_ATH1,Penfield_1-2_endosperm-control_Rep2_ATH1,Penfield_1-14_embryo-ABA_Rep2_ATH1,Penfield_1-6_endosperm-ABA_Rep3_ATH1
AT1G01360,PYL9,261056_at,6.504822204,6.734502166,7.052983216,6.773471351,7.063273844,6.480236851,7.581907264,6.31913791,6.615611564,6.868394004,6.841999459,6.821872713
AT1G01370,HTR12,261058_at,5.370447382,3.565390069,5.457134269,3.660062126,4.303010744,4.598522675,3.827215383,4.987380902,4.011556879,3.744032735,4.179005943,3.895053334
AT1G01380,ETC1,257490_x_at,4.014752127,4.878905073,3.84294208,9.0843796,4.049383819,4.19456756,9.33518286,3.92587519,5.277027334,9.938886931,4.007891775,6.066348998
AT1G01390,,261046_at,3.327981593,3.09856138,3.233867523,4.047686825,3.074075174,3.102631938,4.891255529,3.531895274,2.941793394,3.826868374,3.008824489,3.350719
AT1G01410,APUM22,261047_at,2.980921168,3.046536754,2.908588278,2.9947612,2.87744038,2.905808056,3.384069504,2.930151613,2.794597101,3.149686539,2.84146525,3.135060544
AT1G01420,UGT72B3,261048_at,4.228937881,4.060448286,3.884663183,4.045222159,3.954124404,3.753444814,4.022378454,4.205001945,3.774544226,3.863544555,3.831781413,3.817375251
AT1G01430,TBL25,261049_at,7.23288075,5.335297173,6.484890963,5.834924763,5.528087863,5.762299039,5.12846125,7.238119291,5.46907062,5.586156229,5.574847631,5.177394087
AT1G01440,,261052_at,4.091124699,4.153418429,4.243637972,4.144841244,4.295598164,4.298418228,4.236159386,4.139005613,3.998310788,3.899056402,4.150726385,3.988257997
AT1G01450,,259435_at,3.164638523,3.10733983,2.869078775,3.237107248,2.910428936,3.303327081,3.280126901,2.911372055,2.977003645,3.01201747,2.930450941,3.223231337
AT1G01460,PIP5K10,259425_at,2.980449171,2.955341425,2.919682462,3.045421583,2.963962545,3.00400043,2.961261183,2.942859267,3.041888319,3.059010354,3.006170864,2.951132416
AT1G01470,LEA14,259426_at,6.728045296,10.46494835,6.844054851,8.892649815,10.71693878,10.62226702,8.998225703,6.71942518,10.7397278,9.421752301,10.724298,10.84268657
AT1G01480,ACS2,259439_at,3.660143707,3.671835609,3.882002305,3.590694216,4.51862473,4.538719841,3.708978431,3.90429782,3.787023716,3.878665215,4.874026473,3.861966329
AT1G01490,,259434_at,9.362117569,9.365724272,9.275918611,10.18149192,8.64329297,9.100814036,10.64100929,9.3639735,9.240992617,10.24823973,9.137435117,9.46509423
AT1G01500,,259436_at,6.315337645,6.904683248,6.251123813,7.078968958,6.802432674,7.141398605,7.090219195,6.16199331,6.6901262,6.871449364,7.325850001,7.095865588
AT1G01510,AN,259438_at,6.521919767,6.761574924,6.817555668,6.339077497,6.926852349,6.634189902,5.756261199,6.549563308,6.810792635,6.233489259,6.393910805,6.060465947
AT1G01520,,259432_at,3.98398493,4.689970058,4.261034285,3.728597148,6.20875488,4.15802931,3.23380155,3.834790728,5.219519593,3.476928308,3.929523133,4.113204483
AT1G01530,AGL28,259427_at,2.853919478,3.00458223,3.075866383,3.124268672,3.058811878,3.247944333,2.775225083,2.915817343,2.940423398,2.914754228,2.975805825,3.038034707
AT1G01540,,259437_at,7.156193309,7.414190829,7.213295747,7.226794386,6.814045441,6.481096743,7.059972624,7.174139025,7.27860313,7.060063108,6.822632284,7.114326874
AT1G01550,BPS1,259440_at,8.268612931,8.218447802,8.070863499,9.092228627,8.235217643,8.432441445,10.12891067,7.988181677,8.479010913,9.219064752,8.360977993,8.854952792
