#development stage,seedling,,,,,,,
#organism part,aerial tissue,,,,,,,
#ecotype,Col-0,,,,,,,
#,,,,,,,,
Gene ID,Gene Name,DesignElementAccession,Sakakibara_1-2_TZ-treatment-wild_Rep2_ATH1,Sakakibara_1-9_DMSO-treatment-wild_Rep3_ATH1,Sakakibara_1-7_DMSO-treatment-wild_Rep1_ATH1,Sakakibara_1-1_TZ-treatment-wild_Rep1_ATH1,Sakakibara_1-8_DMSO-treatment-wild_Rep2_ATH1,Sakakibara_1-3_TZ-treatment-wild_Rep3_ATH1
AT1G01640,,261586_at,4.425516356,4.142402544,4.125274645,4.177645264,4.15006769,4.256558041
AT1G01650,SPPL4,257484_at,8.476005421,8.868673849,8.719481876,8.323328377,8.86214951,8.422558148
AT1G01660,,261587_at,3.868462377,3.99343581,4.146643796,3.897242588,3.961933872,3.970975462
AT1G01670,PUB56,261588_at,5.19749647,5.64769867,5.549667067,5.208565216,5.744596684,5.099153184
AT1G01700,ATROPGEF2,261590_at,3.723725402,3.946739386,3.707974566,3.516912295,3.597974177,3.674359757
AT1G01710,,261560_at,7.638272338,8.431733995,8.438270863,7.817585374,8.310905648,7.780243896
AT1G01720,NAC002,261564_at,8.071273097,7.539573483,7.487927556,8.214599085,7.650311532,7.795031913
AT1G01725,,261535_at,6.286807814,4.971266804,5.368856164,6.299351779,5.024993518,6.277779977
AT1G01730,,261561_at,7.286395141,7.453078226,7.506629431,7.044919672,7.348291224,6.968530464
AT1G01740,,261591_at,6.141361981,6.823802771,6.703756551,6.50531942,6.892921147,6.416387906
AT1G01750,ADF11,261562_at,3.759227316,3.747465241,3.967516798,3.765162582,3.651511804,3.781235891
AT1G01760,,261592_at,5.021436688,5.328049357,5.02208549,5.130963209,5.437409664,5.255661836
AT1G01770,,261558_at,6.421185315,6.999094689,7.149032775,6.510243815,6.832562306,6.475229451
AT1G01780,PLIM2B,261559_at,6.272184004,6.390459994,6.626063596,6.003970806,6.215838526,6.082222709
AT1G01790,KEA1,261536_at,9.774809676,10.53252104,10.59797518,10.02204707,10.49396257,9.805695582
AT1G01800,,261537_at,9.743047493,9.925895301,9.772120043,9.648120769,9.933137036,9.621684173
AT1G01820,PEX11C,261534_at,8.682095954,7.24237608,7.051687989,8.424479627,7.333474067,8.534704009
AT1G01830,,261538_at,6.335424187,6.336700502,5.996050229,6.241168784,6.420489552,6.322283714
AT1G01840,,261539_at,5.524657163,5.965257574,5.820169509,5.531966434,5.99522546,5.60816277
AT1G01860,PFC1,261652_at,7.337536482,6.603636512,6.54671066,7.18345046,6.43752378,7.38669351
AT1G01900,SBTI1.1,261653_at,8.262981557,8.354755316,8.644736511,8.279352874,8.112156076,8.241644036
AT1G01910,,261627_at,8.836549319,8.362707835,8.078395629,9.121586815,8.458532571,9.173481267
AT1G01920,,261654_at,5.501808648,5.435351976,5.673907228,5.460721239,5.688093221,5.344510491
AT1G01930,,261625_at,7.158640685,6.588383912,6.613668314,7.146274809,6.61885416,7.084216406
AT1G01940,CYP18-1,261655_at,8.134010783,7.937976041,7.829048618,7.975528312,7.730316671,8.172156003
AT1G01950,ARK2,261656_at,6.877129653,6.849506042,6.862599694,6.877555251,6.985888109,6.797136853
AT1G01960,BIG3,261621_at,8.736290111,9.574815246,9.332981878,8.775449078,9.514557814,8.848352734
AT1G01970,,261622_at,8.900503459,8.212098104,8.365013671,8.987148333,8.397970091,8.861003643
AT1G01980,SEC1A,261623_at,3.797057139,3.96522591,3.888098093,4.127816195,3.978144686,3.788813276
AT1G01990,,261626_at,7.000554053,5.952420782,6.040109379,7.04521834,6.031327176,7.277364284
AT1G02000,GAE2,261624_at,6.530116078,6.646670054,6.744405122,6.620655101,6.343936236,6.71446098
AT1G02020,,264169_at,6.998107392,7.909235733,7.646500931,6.979699719,7.863494342,7.118621509
AT1G02050,PKSA,264175_at,4.950587971,5.255683406,5.281383867,5.01330106,5.334345062,4.943794588
AT1G02060,,264167_at,4.231356979,4.301163373,4.181814795,4.036034926,4.27148937,4.186664612
AT1G02070,,264151_at,3.95632381,4.157878885,4.058613768,4.132989946,3.883305001,3.938528126
AT1G02080,,264168_at,9.243293958,9.948825883,9.749100934,9.314337351,9.794300036,9.397781092
AT1G02090,CSN7,264150_at,8.342953776,6.646443453,6.937713862,8.516297065,7.041880045,8.400869012
AT1G02100,,264171_at,7.269698546,6.770312765,7.06289617,7.412153828,6.92731006,7.537864324
AT1G02110,,264176_at,7.259837,7.276561612,7.018769148,7.458643589,7.088237312,7.433207889
AT1G02120,VAD1,264172_at,8.673171649,8.010787976,8.15575151,8.619172881,8.003790466,8.711406447
AT1G02130,RABD2A,264122_at,8.717642272,7.908790933,8.044057976,8.618302572,7.92766405,8.938778602
AT1G02140,MEE63,264152_at,11.22700812,9.673899248,9.544060079,11.30454345,9.525002651,11.27420981
AT1G02150,,264177_at,10.52856563,9.872887953,9.550106696,10.51190386,9.765194611,10.57138078
AT1G02160,,264173_at,8.880258751,9.116830788,9.457594236,8.839654516,9.21146723,8.796995088
