#development stage,vegetative stage,,,,,,,
#age,21 (day),,,,,,,
#genotype,Col-0,,,,,,,
#organism part,whole organism,,,,,,,
#compound,,,t-zeatin,t-zeatin,none,none,t-zeatin,none
Gene ID,Gene Name,DesignElementAccession,NO.20-2,NO.19-2,NO.11,NO.10,NO.21-2,NO.12
AT1G01660,,261587_at,5.014556472,4.968764249,5.156673742,4.736129059,5.000126929,4.977269318
AT1G01670,PUB56,261588_at,6.39623617,6.549307822,6.478900577,6.406059631,6.345646691,6.330181437
AT1G01700,ATROPGEF2,261590_at,3.895290471,3.971721144,3.96054525,3.964369048,3.933797946,3.973379335
AT1G01710,,261560_at,7.347194394,7.402429536,7.557564318,7.551423154,7.355949019,7.680171132
AT1G01720,NAC002,261564_at,8.598249976,8.655615301,9.155987858,8.908979027,8.681498039,9.145352591
AT1G01725,,261535_at,7.183542722,7.107890168,7.594467227,7.379810767,6.956650562,7.701396108
AT1G01730,,261561_at,8.912970033,8.822629305,8.35027533,8.286868543,8.847712412,8.592808973
AT1G01740,,261591_at,7.219260091,7.095287603,6.569324687,6.421512771,7.068605722,6.63265437
AT1G01750,ADF11,261562_at,6.529413585,6.539070389,6.957616531,6.921697002,6.362776694,7.041957872
AT1G01760,,261592_at,6.64870758,6.715903004,6.957516038,6.904398327,6.549760789,6.703325287
AT1G01770,,261558_at,6.199715481,6.115960457,6.790104584,6.905293556,6.550670926,6.774142616
AT1G01780,PLIM2B,261559_at,6.296710457,6.430501276,6.560093579,6.628725553,6.316253545,6.653496034
AT1G01790,KEA1,261536_at,8.491635806,8.624757907,8.985855459,9.131459865,8.602711309,8.824684968
AT1G01800,,261537_at,10.01661624,9.879504274,10.25682631,10.24155722,9.982044119,10.31873656
AT1G01820,PEX11C,261534_at,9.670095283,9.53311391,9.445657804,9.467708728,9.563755419,9.439353121
AT1G01830,,261538_at,6.218793053,6.157640674,6.350171078,6.306400168,6.078113825,6.347893642
AT1G01840,,261539_at,6.174012969,6.115960457,6.255735476,5.915350485,6.001572959,6.043372754
AT1G01860,PFC1,261652_at,7.569306213,7.6426616,7.380024329,7.41790642,7.570930286,7.454065144
AT1G01900,SBTI1.1,261653_at,6.305456152,6.330182311,6.700495757,6.466210117,6.754751058,6.704742185
AT1G01910,,261627_at,9.49067393,9.53191507,9.126488932,9.139685979,9.499559754,9.129239623
AT1G01920,,261654_at,6.280773599,6.402330764,5.965178905,5.911519007,6.224843234,5.981145372
AT1G01930,,261625_at,7.692250868,7.58211445,7.573100151,7.619218358,7.522381711,7.644446538
AT1G01940,CYP18-1,261655_at,8.947646178,8.884714596,8.05749694,8.121915242,8.71126248,8.232113265
AT1G01950,ARK2,261656_at,6.693423878,6.777645475,7.140937831,7.366613044,6.789269467,7.307848899
AT1G01960,BIG3,261621_at,9.399463888,9.324307965,9.142385651,9.183507799,9.569826548,9.103419343
AT1G01970,,261622_at,8.899921765,8.80846257,7.741132785,7.771726963,8.807768473,7.961803252
AT1G01980,SEC1A,261623_at,4.293030992,4.195438932,4.343723631,4.338678296,4.22736338,4.244780494
AT1G01990,,261626_at,9.089533029,8.866131363,8.520877809,8.326225611,8.894245693,8.403680937
AT1G02000,GAE2,261624_at,7.076676561,7.066429989,7.263958796,7.348135388,7.051130072,7.556045085
AT1G02020,,264169_at,6.793374201,6.654882054,6.752868653,6.773723433,6.933078774,6.927406531
AT1G02050,PKSA,264175_at,6.299249925,5.978599462,6.250149206,6.253349401,6.223384422,6.102072509
