#ecotype,columbia,,,,,,,
#development stage,seedling,,,,,,,
#age,7 (day),,,,,,,
#compound,,,none,none,indole-3-acetic acid,none,indole-3-acetic acid,indole-3-acetic acid
Gene ID,Gene Name,DesignElementAccession,GSM9571,GSM9573,GSM9574,GSM9572,GSM9575,GSM9576
AT1G01570,,259433_at,5.057359291,5.196238371,4.822077406,5.072175097,4.841548768,4.832967861
AT1G01600,CYP86A4,259429_at,5.904481232,6.320417726,6.107533766,5.961683734,6.365416212,6.328595838
AT1G01610,GPAT4,259430_at,8.936972189,8.4360275,8.603574571,8.809985944,9.024852566,8.882088184
AT1G01620,PIP1-3,259431_at,11.90990633,11.96629287,11.21692431,11.71728011,11.29737846,11.35583055
AT1G01630,,261563_at,9.854491765,9.900769247,9.727792659,9.865320494,9.872539967,9.88232075
AT1G01640,,261586_at,8.303089494,8.301653299,7.934583856,8.330076069,8.216075192,7.973894471
AT1G01650,SPPL4,257484_at,7.835650301,7.546151201,8.747726512,8.018077976,8.071098128,8.130896919
AT1G01660,,261587_at,5.146747618,5.024254318,5.166265587,5.068923014,5.267098947,5.012444472
AT1G01670,PUB56,261588_at,5.688667523,5.515740042,5.612516054,5.695451562,5.600067366,5.601374439
AT1G01700,ATROPGEF2,261590_at,3.523840233,3.552336734,3.699499543,3.636760439,3.386628027,3.617125259
AT1G01710,,261560_at,7.632571681,7.663785004,7.398116859,7.566070315,7.646918215,7.68880089
AT1G01720,NAC002,261564_at,7.213759589,6.833014189,7.694468472,6.870697723,7.950304149,7.649330587
AT1G01725,,261535_at,6.418345685,6.421911051,6.366146227,6.407464277,6.518508992,6.414953804
AT1G01730,,261561_at,7.938056071,7.856757292,8.060298678,8.183864071,8.226446928,8.205150805
AT1G01740,,261591_at,6.241559766,6.481756485,6.056398328,6.233207378,6.233448798,6.238799198
AT1G01750,ADF11,261562_at,7.9761209,7.802310677,6.979910197,7.838608362,7.442145871,7.243719855
AT1G01760,,261592_at,6.078769831,5.782108819,6.210098626,6.502709596,6.189929779,5.784029443
AT1G01770,,261558_at,6.963428829,6.967822548,6.68730941,6.914501829,7.00539717,6.800709112
