#ecotype,Col-0,,,,,,,
#development stage,seedling,,,,,,,
#organism part,whole organism,,,,,,,
#compound,,,salicylic acid,none,salicylic acid,salicylic acid,none,none
Gene ID,Gene Name,DesignElementAccession,GSM566478,GSM566473,GSM566476,GSM566477,GSM566474,GSM566475
AT1G01570,,259433_at,6.506126889,6.439473021,6.334902887,6.362578856,6.328831913,6.488371977
AT1G01600,CYP86A4,259429_at,7.417033954,7.43225655,7.165975311,7.17963827,7.873660865,7.49854462
AT1G01610,GPAT4,259430_at,10.97410225,11.25768651,10.9917943,11.06774453,10.99803778,11.04169081
AT1G01620,PIP1-3,259431_at,12.05202582,12.39663228,11.95340247,12.16545834,12.32189025,12.85726246
AT1G01630,,261563_at,10.74197389,10.62330888,10.54924754,10.68525489,10.91953875,11.0737532
AT1G01640,,261586_at,7.886406064,8.230850786,7.712110451,8.016839992,7.91010742,8.22113327
AT1G01650,SPPL4,257484_at,9.647936972,9.411078143,9.460639064,9.439796155,9.194469175,9.289026693
AT1G01660,,261587_at,5.044768939,4.948614263,4.767961925,4.773801059,4.796656356,5.064823754
AT1G01670,PUB56,261588_at,5.83732936,6.042676764,6.13710425,5.979176192,5.921230357,6.118760521
AT1G01700,ATROPGEF2,261590_at,4.287738948,4.017063256,4.070944944,4.22646255,4.019941335,4.01063302
AT1G01710,,261560_at,8.529088676,8.959754067,8.948337762,8.854637463,8.579527574,9.006602599
AT1G01720,NAC002,261564_at,10.63854055,9.704500336,10.84349169,11.01949396,9.132718381,9.960270295
AT1G01725,,261535_at,7.915641741,7.954591709,7.937666812,8.042247744,8.277023081,8.163726798
AT1G01730,,261561_at,9.571219123,8.969299058,9.215318315,9.30480256,8.92559185,9.002029329
AT1G01740,,261591_at,6.382159222,6.864242837,6.478984675,6.25616159,6.377133347,6.618176416
AT1G01750,ADF11,261562_at,5.101231402,8.505936322,5.169309184,5.079193163,8.645560383,8.622544776
AT1G01760,,261592_at,7.131720095,7.366654032,7.132119421,6.972960065,6.924949753,7.447248142
AT1G01770,,261558_at,7.639832821,7.90661605,7.872746431,7.30839853,8.268255227,7.611869708
AT1G01780,PLIM2B,261559_at,6.728835668,8.07202769,7.298892409,6.807975147,8.212172051,8.52694684
AT1G01790,KEA1,261536_at,8.564338586,9.097334523,9.004044045,8.502129725,8.834461371,8.724361095
AT1G01800,,261537_at,11.02501647,10.76092243,11.0486074,10.89605948,10.47939752,10.69648343
AT1G01820,PEX11C,261534_at,10.49944351,10.71830996,10.35838779,10.39827697,10.3774793,10.58716094
AT1G01830,,261538_at,7.543365466,6.875533528,7.306449515,7.090868834,7.395931645,6.825307427
AT1G01840,,261539_at,6.86657078,6.803688304,6.811691684,6.553637632,7.492602894,6.832175353
AT1G01860,PFC1,261652_at,7.609599962,7.981881866,7.421956971,7.465712545,6.819058364,7.808788542
AT1G01900,SBTI1.1,261653_at,7.440920542,7.595551795,7.525163942,7.436495555,7.74176068,7.574046506
AT1G01910,,261627_at,10.14951043,10.14266139,10.06131195,10.11447435,9.69362436,10.18150539
AT1G01920,,261654_at,8.03533558,8.050951439,7.81224191,7.443999773,8.075713825,7.840721388
AT1G01930,,261625_at,8.147200997,8.258484852,8.021273838,8.013395117,8.277196393,8.131094102
AT1G01940,CYP18-1,261655_at,9.73268444,9.488986733,9.636417072,9.581964275,9.617597141,9.40987025
AT1G01950,ARK2,261656_at,7.8995434,8.145044998,7.888900002,7.54249957,8.186908912,7.530955972
AT1G01960,BIG3,261621_at,10.20408941,10.14355847,10.02927699,9.917168375,10.75783023,10.09573516
AT1G01970,,261622_at,9.256214627,9.672067782,8.967050917,9.140216819,9.712531162,9.418304704
AT1G01980,SEC1A,261623_at,4.530589572,4.287192415,4.233338673,4.187448977,4.089639375,4.210785088
AT1G01990,,261626_at,9.143350551,9.192815381,8.918230328,9.105081774,8.913638342,9.363112645
AT1G02000,GAE2,261624_at,8.059015184,8.159761736,7.799192809,7.820021924,8.208508067,8.158212065
AT1G02020,,264169_at,8.632828598,8.393123393,8.380219429,8.311565736,8.639323226,8.574286382
AT1G02050,PKSA,264175_at,6.476407859,7.259901971,6.79518966,6.522263039,7.180258643,6.624649706
AT1G02060,,264167_at,5.666607241,5.685300229,5.351168117,5.442279228,5.029277209,5.360090146
AT1G02070,,264151_at,4.759593842,4.325864235,4.267075076,4.183738262,4.229919576,4.282050274
AT1G02080,,264168_at,9.481527098,9.568882277,9.532595116,9.509440629,10.27694572,9.591023395
AT1G02090,CSN7,264150_at,9.221232646,9.088429042,9.270998062,9.211919337,8.234812438,8.954997894
AT1G02100,,264171_at,9.115241895,9.020505292,9.06986893,8.939933704,7.933093159,9.053908721
AT1G02110,,264176_at,8.172753984,8.491510297,8.164266537,8.142411854,8.717605715,8.665091118
AT1G02120,VAD1,264172_at,10.56521245,9.836968834,10.38814963,10.27432229,9.783623935,9.380382082
AT1G02130,RABD2A,264122_at,9.624856972,9.590414182,9.46916244,9.630774239,9.369431537,9.644338766
AT1G02140,MEE63,264152_at,12.05883504,12.2103852,12.16890334,12.18754479,11.98939007,12.15163227
