#organism part,whole organim,,,,,,
#age,12 (day),,,,,,
#dose,50 micromolar,,,,,,
#compound,,mock,mock,mock,abscisic acid,abscisic acid,abscisic acid
Gene ID,Gene Name,SRR1761506,SRR1761507,SRR1761508,SRR1761509,SRR1761510,SRR1761511
AT1G02205,CER1,162,138,263,3388,2090,2090
AT1G02210,,0,0,0,0,0,0
AT1G02220,NAC003,69,77,103,287,235,240
AT1G02228,,0,0,0,0,0,0
AT1G02230,NAC004,3,4,4,4,2,2
AT1G02250,NAC005,2,0,0,0,0,0
AT1G02260,,101,120,256,201,164,162
AT1G02270,,84,113,238,213,201,189
AT1G02280,TOC33,462,633,1245,878,602,670
AT1G02290,,62,54,156,135,94,111
AT1G02300,CATHB1,232,282,671,737,593,632
AT1G02305,CATHB2,847,1001,2165,2660,2012,1941
AT1G02310,MAN1,3,7,9,159,101,105
AT1G02320,,0,0,0,0,0,1
AT1G02330,,182,243,405,360,303,291
AT1G02335,GL22,71,58,119,235,177,53
AT1G02340,HFR1,23,41,89,130,128,120
AT1G02350,,19,18,59,29,35,24
AT1G02360,,107,135,266,97,98,73
AT1G02370,,39,50,117,59,51,65
AT1G02380,,24,42,85,83,65,76
AT1G02390,GPAT2,16,21,27,195,127,92
AT1G02391,,0,0,0,0,0,0
AT1G02400,GA2OX6,29,38,63,233,103,115
AT1G02405,,0,1,2,1,6,3
AT1G02410,COX11,82,115,226,258,192,209
AT1G02420,,2,7,15,11,9,4
AT1G02430,ATARFD1B,20,28,35,38,22,32
AT1G02440,ATARFD1A,0,0,0,1,0,0
AT1G02450,NIMIN-1,0,0,1,0,0,0
AT1G02460,,4,8,10,1,4,1
AT1G02470,,5,10,20,228,91,72
AT1G02475,,263,276,783,788,595,449
AT1G02480,,0,0,0,0,0,0
AT1G02490,,0,0,2,0,1,0
AT1G02500,SAM1,3368,3929,7948,7005,5444,5797
AT1G02510,TPK4,0,0,0,1,0,0
AT1G02520,ABCB11,32,29,64,47,33,18
AT1G02530,ABCB12,0,1,3,1,0,2
AT1G02540,,0,0,0,0,0,0
AT1G02550,,0,0,0,0,0,0
AT1G02560,CLPP5,1168,1466,3548,3296,2580,2139
AT1G02570,,5,8,9,3,1,3
AT1G02575,,3,4,1,1,0,0
AT1G02580,MEA,2,4,1,3,0,1
AT1G02590,,0,0,0,0,0,0
AT1G02600,,0,0,0,0,0,0
AT1G02610,,90,138,250,177,149,108
AT1G02620,,15,20,33,4,1,1
AT1G02630,ETN8,1,0,4,3,0,1
AT1G02640,BXL2,553,716,1119,304,151,150
AT1G02650,,32,39,78,22,20,22
AT1G02660,,341,553,925,1079,706,609
AT1G02670,,12,23,26,64,48,36
AT1G02680,TAF13,109,136,258,225,173,212
AT1G02681,,0,0,0,0,0,2
AT1G02690,IMPA-6,87,109,175,105,75,89
AT1G02700,,11,10,42,86,65,65
AT1G02710,,48,73,151,163,116,109
AT1G02720,GATL5,43,58,162,86,80,79
AT1G02730,CSLD5,112,111,250,174,152,114
AT1G02740,MRG2,57,61,117,99,95,88
AT1G02750,DI19-2,57,92,206,171,134,130
AT1G02760,,0,0,0,0,0,0
AT1G02770,,1,3,2,11,6,0
AT1G02780,RPL19A,3831,4544,8138,6526,4622,5391
AT1G02790,PGA3,0,0,0,0,2,0
AT1G02800,CEL2,19,12,32,5,12,9
