#organism part,whole organism,,,,,,,
#developmental stage,seeding,,,,,,,
#ecotype,columbia,,,,,,,
#compound,,,none,1 micromolar brassinolide,1 micromolar brassinolide,1 micromolar brassinolide,none,none
Gene ID,Gene Name,DesignElementAccession,GSM520749,GSM520758,GSM520757,GSM520756,GSM520750,GSM520748
AT1G01560,MPK11,259428_at,4.56421362,5.570491979,5.383412447,5.165252272,9.427111626,6.22591281
AT1G01570,,259433_at,4.77532819,4.846562474,4.745166945,4.804664821,4.736580727,4.701164368
AT1G01600,CYP86A4,259429_at,4.794924609,5.036849101,4.759790907,4.512839955,4.714622064,4.429114435
AT1G01610,GPAT4,259430_at,8.545277118,8.588029294,8.716430042,8.923368913,7.058055327,8.44739621
AT1G01620,PIP1-3,259431_at,11.66070197,11.63376591,11.47136461,11.45813428,10.41648933,11.38884662
AT1G01630,,261563_at,8.962960754,8.973503209,9.196683003,9.24604894,9.126005693,8.987201794
AT1G01640,,261586_at,7.265360209,7.3769993,7.363464262,7.437562216,7.105652578,7.071211133
AT1G01650,SPPL4,257484_at,8.35337074,7.890111027,8.303775054,7.935677024,8.571619132,8.279540627
AT1G01660,,261587_at,3.630594833,3.84995033,3.590920361,3.359550309,3.919389564,3.812371386
AT1G01670,PUB56,261588_at,5.230519213,5.177746035,5.068199108,5.119940366,4.992110612,5.150348753
AT1G01700,ATROPGEF2,261590_at,2.985935088,3.015360494,3.097535243,3.050970169,2.863403029,2.928748093
AT1G01710,,261560_at,8.54764413,8.361426012,8.634718254,8.164601807,8.46830064,8.447536316
AT1G01720,NAC002,261564_at,8.791073577,8.761363496,8.602281197,8.772868832,9.7998334,9.017896979
AT1G01725,,261535_at,7.878895617,8.493505279,8.065150935,8.306518479,7.546815141,8.093049134
AT1G01730,,261561_at,8.444941513,8.582865867,8.419190841,8.716790735,9.186491633,8.775468233
AT1G01740,,261591_at,5.818211241,5.710024542,5.690265038,5.612055095,5.311169609,5.567285466
AT1G01750,ADF11,261562_at,5.989461358,6.220723131,5.777739435,6.213462547,4.070988209,5.562033438
AT1G01760,,261592_at,5.467073175,5.612012628,5.372786481,5.53981106,5.302141306,5.529865031
AT1G01770,,261558_at,8.496190126,8.18951604,8.390178361,8.028082734,8.034906738,8.281500662
AT1G01780,PLIM2B,261559_at,6.92410434,6.510189451,6.697252622,6.353797719,6.723599088,6.412260826
AT1G01790,KEA1,261536_at,7.379857717,7.043971861,7.358534333,6.996860433,7.448097311,7.207475195
AT1G01800,,261537_at,10.21001088,10.3272512,10.26926106,10.31435869,10.40220123,10.32596048
AT1G01820,PEX11C,261534_at,10.1112407,10.08813481,10.04092797,9.855936204,10.24135837,10.23911661
AT1G01830,,261538_at,5.105733121,5.2629856,5.072630277,4.9696892,4.795956517,4.79183264
AT1G01840,,261539_at,4.537131846,4.473359462,4.272769842,4.199584326,4.164836882,4.361938066
AT1G01860,PFC1,261652_at,6.459226614,6.593294833,6.528082517,6.52344895,5.639810639,6.3342426
AT1G01900,SBTI1.1,261653_at,5.747178088,6.223176278,5.917441974,5.897346277,4.986494063,5.711716073
AT1G01910,,261627_at,9.407291339,9.265171467,9.412912535,9.331069458,9.25672753,9.299924727
AT1G01920,,261654_at,5.836759452,5.94937638,6.096047898,6.071161087,6.213104444,5.933341039
AT1G01930,,261625_at,7.344524412,6.921550457,7.402702573,7.209281093,7.509927196,7.204621394
AT1G01940,CYP18-1,261655_at,8.484262899,8.762356359,8.645051048,8.935710382,8.720569133,8.424242257
AT1G01950,ARK2,261656_at,6.552093314,6.596968251,6.677073126,6.633775446,6.514568416,6.555508822
